status,path,label,prediction,pinecone_,neo_,trinity_,morpheus_
❌,./images/trash/trash118.jpg,6,5,0.8918472528457642,5,2,5
❌,./images/trash/trash12.jpg,6,5,0.9588667154312134,5,5,5
❌,./images/trash/trash124.jpg,6,5,0.9357290267944336,5,3,5
✅,./images/trash/trash130.jpg,6,6,0.4419519901275635,5,5,5
❌,./images/trash/trash131.jpg,6,5,0.9403270483016968,5,5,5
❌,./images/trash/trash125.jpg,6,5,0.9395744204521179,5,5,5
❌,./images/trash/trash13.jpg,6,4,0.990777850151062,4,5,4
❌,./images/trash/trash119.jpg,6,5,0.9796893000602722,5,5,5
❌,./images/trash/trash11.jpg,6,5,0.9472776651382446,5,5,5
❌,./images/trash/trash133.jpg,6,5,0.9954276084899902,5,4,5
✅,./images/trash/trash39.jpg,6,6,0.43988174200057983,5,5,5
❌,./images/trash/trash127.jpg,6,5,0.8978933095932007,5,4,5
✅,./images/trash/trash38.jpg,6,6,0.4585287570953369,5,5,5
❌,./images/trash/trash126.jpg,6,3,0.9111475944519043,3,2,3
❌,./images/trash/trash132.jpg,6,5,0.9986602067947388,5,4,5
❌,./images/trash/trash10.jpg,6,3,0.9756320714950562,3,5,3
✅,./images/trash/trash28.jpg,6,6,0.3986209034919739,4,5,4
❌,./images/trash/trash136.jpg,6,4,0.989399790763855,4,5,4
✅,./images/trash/trash122.jpg,6,6,0.33514371514320374,3,5,3
✅,./images/trash/trash14.jpg,6,6,0.42277461290359497,1,5,1
❌,./images/trash/trash15.jpg,6,1,0.9742119908332825,1,5,1
❌,./images/trash/trash123.jpg,6,4,0.975517749786377,4,3,4
❌,./images/trash/trash29.jpg,6,4,0.995448112487793,4,5,4
✅,./images/trash/trash137.jpg,6,6,0.3531356453895569,4,5,4
❌,./images/trash/trash121.jpg,6,3,0.9614890813827515,3,2,3
❌,./images/trash/trash135.jpg,6,4,0.9852975010871887,4,3,4
✅,./images/trash/trash109.jpg,6,6,0.39466387033462524,1,5,1
❌,./images/trash/trash17.jpg,6,4,0.9892182350158691,4,5,4
❌,./images/trash/trash108.jpg,6,3,0.9950436353683472,3,2,3
✅,./images/trash/trash16.jpg,6,6,0.4158112406730652,4,5,4
✅,./images/trash/trash134.jpg,6,6,0.5479568243026733,5,5,5
❌,./images/trash/trash120.jpg,6,3,0.9871135950088501,3,2,3
✅,./images/trash/trash65.jpg,6,6,0.380621075630188,4,5,3
✅,./images/trash/trash71.jpg,6,6,0.41532978415489197,4,5,4
❌,./images/trash/trash59.jpg,6,4,0.995733380317688,4,5,4
❌,./images/trash/trash58.jpg,6,4,0.9885097742080688,4,5,4
❌,./images/trash/trash70.jpg,6,5,0.9524043798446655,5,1,5
✅,./images/trash/trash64.jpg,6,6,0.3414650857448578,4,5,4
❌,./images/trash/trash72.jpg,6,5,0.9775460958480835,5,5,5
✅,./images/trash/trash66.jpg,6,6,0.4486702084541321,5,5,5
✅,./images/trash/trash99.jpg,6,6,0.4520811438560486,4,5,4
❌,./images/trash/trash98.jpg,6,4,0.969985842704773,4,3,4
❌,./images/trash/trash67.jpg,6,4,0.9873476028442383,4,5,4
❌,./images/trash/trash73.jpg,6,1,0.9687029123306274,1,3,1
❌,./images/trash/trash77.jpg,6,4,0.9720953106880188,4,2,4
✅,./images/trash/trash63.jpg,6,6,0.3770027756690979,4,5,4
✅,./images/trash/trash88.jpg,6,6,0.43331581354141235,5,5,5
❌,./images/trash/trash89.jpg,6,4,0.9999853372573853,4,3,4
✅,./images/trash/trash62.jpg,6,6,0.39154404401779175,3,5,3
❌,./images/trash/trash76.jpg,6,4,0.9816741943359375,4,5,4
❌,./images/trash/trash48.jpg,6,3,0.8544996976852417,4,2,3
❌,./images/trash/trash60.jpg,6,3,0.9976873397827148,3,2,3
✅,./images/trash/trash74.jpg,6,6,0.32951968908309937,4,5,4
